Probe Set ID	Gene Symbol	Gene Title

1000_at	MAPK3	mitogen-activated protein kinase 3
1001_at	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
1002_f_at	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19
1003_s_at	BLR1	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)
1004_at	BLR1	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)
1005_at	DUSP1	dual specificity phosphatase 1
1006_at	MMP10	matrix metallopeptidase 10 (stromelysin 2)
1007_s_at	DDR1	discoidin domain receptor family, member 1
1008_f_at	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2
1009_at	HINT1	histidine triad nucleotide binding protein 1
100_g_at	RABGGTA	Rab geranylgeranyltransferase, alpha subunit
1010_at	MAPK11	mitogen-activated protein kinase 11
1011_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
1012_at	PCAF	p300/CBP-associated factor
1013_at	SMAD5	SMAD, mothers against DPP homolog 5 (Drosophila)
1014_at	POLG	polymerase (DNA directed), gamma
1015_s_at	LIMK1	LIM domain kinase 1
1016_s_at	IL13RA2	interleukin 13 receptor, alpha 2
1017_at	---	---
1018_at	WNT10B	wingless-type MMTV integration site family, member 10B
1019_g_at	WNT10B	wingless-type MMTV integration site family, member 10B
101_at	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
1020_s_at	CIB1	calcium and integrin binding 1 (calmyrin)
1021_at	IFNG	interferon, gamma
1022_f_at	IFNA14	interferon, alpha 14
1023_at	EPO	erythropoietin
1024_at	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
1025_g_at	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
1026_s_at	COL11A2	collagen, type XI, alpha 2
1027_at	COL11A2	collagen, type XI, alpha 2
1028_at	TOP3A	topoisomerase (DNA) III alpha
1029_s_at	TXK	TXK tyrosine kinase
102_at	HIPK3	homeodomain interacting protein kinase 3
1030_s_at	TOP1	topoisomerase (DNA) I
1031_at	SRPK1	SFRS protein kinase 1
1032_at	IL8RB	interleukin 8 receptor, beta
1033_g_at	IL8RB	interleukin 8 receptor, beta
1034_at	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
1035_g_at	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
1036_at	IL15	interleukin 15
1037_at	BAGE	B melanoma antigen
1038_s_at	IFNGR1	interferon gamma receptor 1
1039_s_at	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
103_at	THBS4	thrombospondin 4
1040_s_at	ABI2	abl interactor 2
1041_at	EFNA5	ephrin-A5
1042_at	RARRES1	retinoic acid receptor responder (tazarotene induced) 1
1043_s_at	RAD52	RAD52 homolog (S. cerevisiae)
1044_s_at	E2F5	E2F transcription factor 5, p130-binding
1045_s_at	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
1046_at	IFIT5	interferon-induced protein with tetratricopeptide repeats 5
1047_s_at	MST1 /// MSTP9	macrophage stimulating 1 (hepatocyte growth factor-like) /// macrophage stimulating, pseudogene 9
1048_at	RXRG	retinoid X receptor, gamma
1049_g_at	RXRG	retinoid X receptor, gamma
104_at	POU6F1	POU domain, class 6, transcription factor 1
1050_at	MLANA	melan-A
1051_g_at	MLANA	melan-A
1052_s_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta
1053_at	RFC2	replication factor C (activator 1) 2, 40kDa
1054_at	RFC4	replication factor C (activator 1) 4, 37kDa
1055_g_at	RFC4	replication factor C (activator 1) 4, 37kDa
1056_s_at	IL16	interleukin 16 (lymphocyte chemoattractant factor)
1057_at	CRABP2	cellular retinoic acid binding protein 2
1058_at	WASF3	WAS protein family, member 3
1059_at	NTRK3	neurotrophic tyrosine kinase, receptor, type 3
105_at	NR1I3	nuclear receptor subfamily 1, group I, member 3
1060_g_at	NTRK3	neurotrophic tyrosine kinase, receptor, type 3
1061_at	IL10RA	interleukin 10 receptor, alpha
1062_g_at	IL10RA	interleukin 10 receptor, alpha
1063_s_at	TYRO3	TYRO3 protein tyrosine kinase
1064_at	PTK9	PTK9 protein tyrosine kinase 9
1065_at	FLT3	fms-related tyrosine kinase 3
1066_at	IL12RB1	interleukin 12 receptor, beta 1
1067_at	FLT3LG	fms-related tyrosine kinase 3 ligand
1068_g_at	FLT3LG	fms-related tyrosine kinase 3 ligand
1069_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
106_at	RUNX3	runt-related transcription factor 3
1070_at	GTF2B	general transcription factor IIB
1071_at	GATA2	GATA binding protein 2
1072_g_at	GATA2	GATA binding protein 2
1073_at	TCEA1	transcription elongation factor A (SII), 1
